Variable,WoE,Points
RevolvingUtilizationOfUnsecuredLines,-1.6183,108.8
RevolvingUtilizationOfUnsecuredLines,-1.5711,107.6
RevolvingUtilizationOfUnsecuredLines,-1.2604,100.1
RevolvingUtilizationOfUnsecuredLines,-1.1064,96.4
RevolvingUtilizationOfUnsecuredLines,-1.041,94.8
RevolvingUtilizationOfUnsecuredLines,-0.7488,87.7
RevolvingUtilizationOfUnsecuredLines,-0.2591,75.9
RevolvingUtilizationOfUnsecuredLines,0.3261,61.7
RevolvingUtilizationOfUnsecuredLines,1.0117,45.1
RevolvingUtilizationOfUnsecuredLines,1.4392,34.8
NumberOfTime30-59DaysPastDueNotWorse,-0.2385,75.3
NumberOfTime30-59DaysPastDueNotWorse,1.8531,25.4
age,-1.1557,85.9
age,-0.9375,82.8
age,-0.4883,76.5
age,-0.2808,73.6
age,-0.0191,69.9
age,0.1497,67.5
age,0.2077,66.7
age,0.2613,65.9
age,0.3874,64.2
age,0.562,61.7
DebtRatio,-0.3323,76.5
DebtRatio,-0.1957,73.7
DebtRatio,-0.1903,73.6
DebtRatio,-0.1671,73.1
DebtRatio,-0.1342,72.4
DebtRatio,-0.1203,72.1
DebtRatio,-0.0196,70.0
DebtRatio,-0.0166,70.0
DebtRatio,0.0,69.6
DebtRatio,0.2692,64.0
DebtRatio,0.5961,57.3
MonthlyIncome,-0.4185,74.1
MonthlyIncome,-0.3525,73.4
MonthlyIncome,-0.2515,72.3
MonthlyIncome,-0.0716,70.4
MonthlyIncome,0.0103,69.5
MonthlyIncome,0.0152,69.5
MonthlyIncome,0.2323,67.1
MonthlyIncome,0.2907,66.5
MonthlyIncome,0.4022,65.3
NumberOfOpenCreditLinesAndLoans,-0.2445,72.0
NumberOfOpenCreditLinesAndLoans,-0.1817,71.4
NumberOfOpenCreditLinesAndLoans,-0.1467,71.0
NumberOfOpenCreditLinesAndLoans,-0.1342,70.9
NumberOfOpenCreditLinesAndLoans,-0.119,70.8
NumberOfOpenCreditLinesAndLoans,-0.0716,70.3
NumberOfOpenCreditLinesAndLoans,-0.0667,70.3
NumberOfOpenCreditLinesAndLoans,-0.0339,69.9
NumberOfOpenCreditLinesAndLoans,0.0297,69.3
NumberOfOpenCreditLinesAndLoans,0.5193,64.6
NumberOfDependents,-0.0858,70.1
NumberOfDependents,0.2063,68.4
NumberOfDependents,0.3413,67.6
